Date,Non valide,Valides,Impressions
2026-04-16,0,0,0
2026-04-17,0,0,0
2026-04-18,224,6,0
2026-04-19,269,6,0
2026-04-20,286,6,0
2026-04-21,344,6,0
2026-04-22,398,6,0
2026-04-23,408,6,0
2026-04-24,413,6,0
2026-04-25,414,6,0
2026-04-26,383,6,0
2026-04-27,411,6,0
2026-04-28,428,6,0
2026-04-29,421,6,0
2026-04-30,408,6,0
2026-05-01,404,6,0
2026-05-02,400,6,0
2026-05-03,396,6,0
2026-05-04,381,6,0
2026-05-05,373,6,0
2026-05-06,371,6,0
2026-05-07,367,6,0
2026-05-08,379,6,0
2026-05-09,382,6,0
2026-05-10,403,6,0
2026-05-11,424,6,0
2026-05-12,455,6,0
2026-05-13,625,6,0
2026-05-14,686,6,0
2026-05-15,680,6,0
2026-05-16,697,6,0
2026-05-17,706,6,0
2026-05-18,6575,9,0
2026-05-19,6694,9,0
2026-05-20,6684,9,0
2026-05-21,6305,9,0
2026-05-22,5655,9,0
2026-05-23,5574,9,0
2026-05-24,5747,9,0
2026-05-25,5228,9,0
2026-05-26,1535,6,0
2026-05-27,1042,6,0
2026-05-28,1165,6,0
2026-05-29,1914,6,0
2026-05-30,1929,6,0
2026-05-31,1903,6,0
2026-06-01,1896,6,0
2026-06-02,2480,6,0
2026-06-03,2691,6,2
2026-06-04,2571,6,5
2026-06-05,1903,6,3
2026-06-06,1701,6,1
2026-06-07,1857,6,4
2026-06-08,1874,6,0
2026-06-09,1812,6,0
2026-06-10,1966,6,0
2026-06-11,1820,6,3
2026-06-12,1831,6,1
2026-06-13,2625,6,0
2026-06-14,5141,6,0
2026-06-15,5264,6,0
2026-06-16,5145,6,2
2026-06-17,4741,6,1
2026-06-18,4941,6,3
2026-06-19,4839,6,4
2026-06-20,4603,6,1
2026-06-21,6481,12,1
2026-06-22,6700,18,1
2026-06-23,7109,18,3
2026-06-24,9037,18,0
2026-06-25,8745,18,5
2026-06-26,8738,18,3
2026-06-27,9173,18,3
2026-06-28,10070,24,3
2026-06-29,9778,41,0
2026-06-30,8652,70,2
2026-07-01,5251,82,0
2026-07-02,5251,82,0
2026-07-03,4859,109,0
2026-07-04,4590,115,0
2026-07-05,7651,224,0
2026-07-06,7669,238,0
2026-07-07,8317,263,0
2026-07-08,8259,272,0
2026-07-09,8209,287,0
2026-07-10,7692,275,0
2026-07-11,7277,278,0
2026-07-12,6706,268,0
2026-07-13,5093,232,0
2026-07-14,5169,237,